⚠️ ❗⚠️ ❗⚠️ВРЕМЯ МЕНЯТЬ МАСЛА !⚠️ ❗⚠️❗ ⚠️,,,,,,,,,,,,,,,,,,
⏳ Осталось дней до ТО: 288,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Заправка,,,,,,,Остальные Растраты на Машину,,,,,,,,,,,
Тотал Общий,,"469,91","12653,65",,,,Тотал Общий,,,,10296,,Планны и Задачи,,,,,
Дата,Пробег (км),Литры,Сумма (Lei),Цена Литр,,,Дата,Категория,Описание,Пробег,Сумма (Lei),,Статус,Нотификэйшн,Задача,Одометр,Детали / Заметки,Бюджет (примерно)
04/12/2025,198814,17,400,,,,04/12/2025,Документы,Переоформление,198814,1140,,⏳ В плане,,Замена дворников,,,300 - 500 Lei
12/12/2025,"199006,4","25,9",600,,,,05/12/2025,Документы,Страховка,198900,176,,🔍 Узнать,,Масло мотора,,Нашёл Motul 0w20 (проверить допуск),
21/12/2025,199317,"17,92",400,,,,09/12/2025,Химия,Glass Cleaner,198930,315,,⏳ В плане,Да,Большой Ремонт,202000,"Масло ДВС + КПП, фильтры, свечи, дроссель",~5000+ Lei
25/12/2025,"199437,6","38,75","851,34",,,,13/12/2025,Тюнинг,Перепрошивка,199015,900,,,,Как найти подставку в подлакотник,,,
03/01/2026,199795,"32,04",703,,,,13/12/2025,Аксессуары,Xiaomi Parking,199015,300,,,,,,,
10/01/2026,200039,"23,36","516,72",,,,13/12/2025,Электроника,Rear Camera,199015,685,,,,,,,
16/01/2026,200488,36,814,"22,59",,,16/12/2025,Сервис,ТО Ходовая,199163,350,,,,,,,
24/01/2026,200680,"22,27",511,"22,94",,,06/01/2026,Комфорт,Подставка под кресло,199750,395,,,,,,,
07/02/2026,200979,"35,92","831,18","23,14",,,11/01/2026,Электроника,Камера + регистратор,200211,1400,,,,,,,
21/02/2026,201323,"38,04","890,13","23,4",,,11/01/2026,Запчасти,Лампа бардачка,200211,35,,,,,,,
04/03/2026,201707,"33,62","805,87","23,97",,,10/03/2026,ТО,ТО+Стра+Дорога,202007,3700,,,,,,,
13/03/2026,202240,35.52,"916,41","25,8",,,21/03/2026,Сервис,Ремонт Скола,202428,300,,,,,,,
27/03/2026,202753,"37,04",1090,"29,42",,,21/03/2026,Сервис,Дворники (АвтоВаЗ),202428,300,,,,,,,
09/04/2026,203372,"16,76",500,"29,82",Не полный бак (38литров),,21/03/2026,Сервис,Развал Схождения,202428,300,,,,,,,
13/04/2026,203657,"16,77",500,"29,8",Не полный бак (38литров),,,,,,,,,,,,,
20/04/2026,203905,"6,84",200,"29,26",Не полный бак (38литров),,,,,,,,,,,,,
24/04/2026,204088,"6,88",200,"29,06",Не полный бак (38литров),,,,,,,,,,,,,
26/04/2026,204205,"45,4",1324,"29,15",,,,,,,,,,,,,,
17/05/2026,204879,"12,97",400,"30,83",Не полный бак (38литров),,,,,,,,,,,,,
21/05/2026,205071,"6,43",200,"31,09",Не полный бак (38литров),,,,,,,,,,,,,
